drug_name,g2032r_score,wt_score,met_score,composite_score,mw,tpsa,clogp,cns_mpo,cns_penetrant,target,is_known_ros1_tki,is_candidate,source
Trilostane,-8.47,,,-8.97,329.4,76.8,3.47,4.9,True,Dehydrogenase,False,False,selleckchem_L1300
Enasidenib Mesylate,-8.97,,,-8.97,473.4,108.7,4.29,1.63,False,Dehydrogenase,False,True,selleckchem_L1300
Larotrectinib,-8.47,,,-8.97,428.4,86.0,2.95,4.52,False,Trk receptor,False,False,selleckchem_L1300
Danthron,-8.46,,,-8.96,240.2,74.6,1.87,5.25,True,AMPK,False,False,selleckchem_L1300
Perospirone,-8.46,,,-8.96,426.6,56.8,3.37,5.01,True,"5-HT Receptor,Dopamine Receptor",False,False,selleckchem_L1300
Naftopidil,-8.46,,,-8.96,392.5,45.2,3.41,5.09,True,Adrenergic Receptor,False,False,selleckchem_L1300
Coluracetam,-8.46,,,-8.96,341.4,75.4,2.88,5.75,True,GluR,False,False,selleckchem_L1300
Norethindrone,-8.45,,,-8.95,298.4,37.3,3.49,5.18,True,"Others,0",False,False,selleckchem_L1300
Naftopidil DiHCl,-8.45,,,-8.95,392.5,45.2,3.41,5.09,True,Adrenergic Receptor,False,False,selleckchem_L1300
CB-5083,-8.45,,,-8.95,413.5,95.1,3.51,4.04,False,"ATPase,p97",False,False,selleckchem_L1300
Larotrectinib (LOXO-101) sulfate,-8.45,,,-8.95,428.4,86.0,2.95,4.52,False,"Apoptosis related,Trk receptor",False,False,selleckchem_L1300
Niraparib (MK-4827) tosylate,-8.45,,,-8.95,320.4,72.9,2.59,5.25,True,"Apoptosis related,PARP",False,False,selleckchem_L1300
Prednisone acetate,-8.45,,,-8.95,400.5,97.7,2.34,4.93,False,Glucocorticoid Receptor,False,False,selleckchem_L1300
Belotecan (CKD-602) hydrochloride,-8.45,,,-8.95,433.5,93.5,2.62,4.29,False,Topoisomerase,False,False,selleckchem_L1300
Oleanolic Acid,-8.94,,,-8.94,456.7,57.5,7.09,2.71,False,Antiviral,False,True,selleckchem_L1300
Azilsartan,-8.94,,,-8.94,456.5,123.2,4.19,1.82,False,Angiotensin Receptor,False,True,selleckchem_L1300
Panaxatriol,-8.94,,,-8.94,476.7,69.9,5.71,2.0,False,Others,False,True,selleckchem_L1300
